description,category,service_id,service_name
محتاج مساعدة، العربية بترعش وهي واقفة,engine,11,فحص المحرك الإلكتروني
في رج بفرمل,brakes,3,إصلاح الفرامل
العربية بتاعتي، العربية سحبها ضعيف وانا دايس الغاز,engine,11,فحص المحرك الإلكتروني
العربية بتاعتي، العربية بتتهز لما بفرمل,brakes,3,إصلاح الفرامل
في رج بفرمل,brakes,3,إصلاح الفرامل
الفرامل مش شايله,brakes,3,إصلاح الفرامل
العربية بتاعتي، العربيه بترج وانا دايس فرامل,brakes,3,إصلاح الفرامل
عندي مشكلة: العربية بقت تحسها مش ناعمة في السواقة,engine,11,فحص المحرك الإلكتروني
عندي مشكلة: العربية مش سلسة زي الأول,engine,11,فحص المحرك الإلكتروني
محتاج مساعدة، في صوت احتكاك من الفرامل,brakes,3,إصلاح الفرامل
عندي مشكلة: العربية بتبطل وأنا واقف على الإشارة,engine,11,فحص المحرك الإلكتروني
محتاج مساعدة، العجلات مش متوازنة,alignment_balancing,5,ضبط الزوايا والتوازن
محتاج مساعدة، الموتور بيقفل لوحده وأنا واقف,engine,11,فحص المحرك الإلكتروني
عندي مشكلة: العربيه بترج لما اشغلها وهي بارده,engine,11,فحص المحرك الإلكتروني
في صوت زنه بيظهر لما السرعه تعلى,tires,4,تغيير إطارات
العربية بتتهز بعد مية,alignment_balancing,5,ضبط الزوايا والتوازن
بكبس الفرامل ومبتوقفش,brakes,3,إصلاح الفرامل
في صوت احتكاك من الفرامل، ممكن تساعدني؟,brakes,3,إصلاح الفرامل
الدركسيون فيه رعشة خفيفة,steering,7,إصلاح نظام التوجيه
محتاج مساعدة، في صوت خبطة من العفشة على المطبات,suspension,6,إصلاح نظام التعليق
في هزة فوق الـ80، ممكن تساعدني؟,alignment_balancing,5,ضبط الزوايا والتوازن
الموتور بيرعش لما ادور العربيه,engine,11,فحص المحرك الإلكتروني
في رعشه بفرمل,brakes,3,إصلاح الفرامل
عندي مشكلة: العربيه بتطفى وانا بسوق,engine,11,فحص المحرك الإلكتروني
العربية بتطفى مني فجأة,starting,13,إصلاح مشاكل التشغيل
في صوت لما بلف الدركسيون، ممكن تساعدني؟,steering,7,إصلاح نظام التوجيه
عندي مشكلة: كل حاجة تمام بس الموتور صوته أعلى من الطبيعي,engine,11,فحص المحرك الإلكتروني
العربية بتاعتي، في تقطيع في الموتور لما ادوس بنزين,engine,11,فحص المحرك الإلكتروني
الموتور مش مستوي لما اقف على الإشارة، ممكن تساعدني؟,engine,11,فحص المحرك الإلكتروني
محتاج مساعدة، في ضعف في الموتور,engine,11,فحص المحرك الإلكتروني
الموتور بيقفل لوحده وأنا واقف,engine,11,فحص المحرك الإلكتروني
عندي مشكلة: الدركسيون بيتهز على السرعات العالية,alignment_balancing,5,ضبط الزوايا والتوازن
العربيه بتكتم في المطلع,engine,11,فحص المحرك الإلكتروني
محتاج مساعدة، العربية بتحسها بتمشي بتقل,engine,11,فحص المحرك الإلكتروني
الأنوار الواطية ضعيفة، ممكن تساعدني؟,electrical,14,إصلاح الكهرباء
العربية مش ثابتة على السرعات العالية,alignment_balancing,5,ضبط الزوايا والتوازن
العربية بتاعتي، العربية واقفة ومش عارف السبب,starting,13,إصلاح مشاكل التشغيل
الفرامل بتعمل رجة لما بدوسها، ممكن تساعدني؟,brakes,3,إصلاح الفرامل
العربية بتنتش فجأة لما ادوس الغاز,engine,11,فحص المحرك الإلكتروني
عندي مشكلة: العربية مش بتشتغل من أول مرة,starting,13,إصلاح مشاكل التشغيل
في صوت فرقعة من تحت,suspension,6,إصلاح نظام التعليق
العربية بترتعش وانا الفرملة، ممكن تساعدني؟,brakes,3,إصلاح الفرامل
العربية بتقف متأخر لما افرمل، ممكن تساعدني؟,brakes,3,إصلاح الفرامل
محتاج مساعدة، في رج في الموتور لما العربية باردة,engine,11,فحص المحرك الإلكتروني
